Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
NCR,City of Manila,78755,75505,73430,86781,91326,82686,68739,56093,52066,45324,38811,29755,22769,13273,10847,7298,6925
NCR,City of Mandaluyong,13681,13268,14000,15685,17587,17366,14662,12200,11036,10459,8789,5925,4433,2609,2124,1301,1339
NCR,City of Marikina,17903,19188,20073,21879,21724,20050,17941,15551,14545,12327,10460,8231,6485,3838,3170,2069,1895
NCR,City of Pasig,31218,30751,30612,32414,35526,35126,31782,26108,22205,17926,15320,11498,8808,5045,3846,2452,2261
NCR,Quezon City,131038,128147,128697,144875,150922,140641,120753,100645,90484,76832,63701,46451,33163,19997,15644,10000,10714
NCR,City of San Juan,4166,4772,5009,6470,7291,7019,5838,4830,4824,4207,3434,2537,2194,1081,981,890,1091
NCR,Caloocan City,77716,75005,75281,76294,73237,68361,60994,51533,47022,40522,32931,23910,17635,10089,7799,4525,4073
NCR,City of Malabon,17389,17242,17136,17252,17064,16200,14774,12356,11196,9647,8307,6150,4697,2767,2119,1317,1274
NCR,City of Navotas,13461,13003,12725,12361,11691,10964,9590,8487,7625,6438,5348,4004,3023,1751,1284,813,639
NCR,City of Valenzuela,29183,28455,26930,27423,29414,28703,25656,20874,17795,14862,12180,9099,6449,3719,2843,1669,1443
NCR,City of Las Pinas,25771,26380,26050,28060,28702,27780,24810,20845,18095,15419,12960,10200,7873,4467,3214,1943,1890
NCR,City of Makati,21247,20533,20854,25332,30965,32085,26026,20953,18789,15926,14379,10586,7909,4774,3653,2801,2718
NCR,City of Muntinlupa,20911,20278,19872,21765,23501,23554,20335,16682,14550,12330,10743,7910,5743,3119,2352,1342,1348
NCR,City of Paranaque,26621,25286,26041,28949,31946,30857,26727,22764,20570,17399,14288,10334,7598,4454,3454,2211,2256
NCR,Pasay City,18592,17760,16890,19240,22718,22239,17913,14464,12451,10319,8391,6608,4846,3407,2383,1361,1190
NCR,Pateros,2963,2993,2970,3089,3161,3053,2765,2283,2140,1762,1489,1226,944,585,490,293,313
NCR,Taguig City,34565,31882,29950,30841,33469,33788,30068,23887,20423,16921,13798,9666,6422,3534,2540,1521,1282
CAR,Abra,12002,12524,11394,11310,10028,8866,7775,6670,6390,5854,5284,4320,3434,2587,2619,1776,2212
CAR,Apayao,6002,6118,6423,5868,4842,4225,3833,3434,2968,2730,2293,1655,1304,950,802,481,456
CAR,Benguet (excluding Baguio City),20083,19904,19939,22815,22032,17359,13623,11414,11029,9849,8053,5868,4162,3084,2593,1600,1607
CAR,Baguio City,14279,14503,13983,19510,20090,15894,12515,10287,9987,8770,7063,5221,3725,2367,1848,1125,1250
CAR,Ifugao,10578,10575,10783,11089,9424,7322,6057,4906,4701,4253,3626,2621,1888,1468,1470,1016,851
CAR,Kalinga,10908,11316,11511,11438,9283,7233,6377,5690,5213,4527,4020,2987,2294,1716,1438,805,864
CAR,Mountain Province,8290,8530,8341,8456,7246,5579,4699,4016,3720,3375,3049,2273,1874,1528,1508,1107,1227
R1,Ilocos Norte,26121,26346,25563,25535,24555,22985,20822,18665,17743,15651,13458,11375,9144,7401,6300,4508,6611
R1,Ilocos Sur,30829,31039,30162,30460,27618,26786,23964,20941,19718,17997,15289,12955,10441,8570,7690,5281,7707
R1,La Union,35055,35571,36049,35857,32258,29741,26533,23504,22376,20289,17732,14160,11804,8087,7349,5055,6572
R1,Pangasinan,145917,148442,147304,137437,116830,105060,95878,87142,79873,68970,59510,48730,42800,30415,23996,16984,19931
R2,Batanes,779,859,936,710,573,538,525,596,462,447,341,314,262,262,226,172,231
R2,Cagayan,56440,55133,58326,57394,48610,42020,39173,35165,32357,30601,26612,21019,15201,10941,10233,6813,7225
R2,Isabela,77663,74303,75375,75466,66258,57273,54439,48680,44710,39747,33115,25733,18857,13097,11006,6624,6655
R2,Nueva Vizcaya,22005,22314,21620,21409,18763,16441,14751,13072,12144,10980,9256,7256,5277,3408,3116,2036,2110
R2,Quirino,9596,9291,9121,9280,7612,6773,6342,5592,4859,4518,3812,2758,1989,1393,1191,733,747
R3,Aurora,11709,11743,11848,10452,8036,6705,6440,6099,5553,4660,4012,3060,2406,1703,1336,873,890
R3,Bataan,35724,34881,34263,33550,31323,28693,26557,22282,21233,18573,16149,12591,9110,5076,4099,2954,3067
R3,Bulacan,146528,148002,149035,143568,130508,123231,117277,102390,95243,78177,64436,50146,39545,25163,19510,12686,13159
R3,Nueva Ecija,101955,98387,97805,97011,85139,76405,71738,64278,60834,51473,43107,33448,26036,18973,15467,10116,11173
R3,Pampanga (excluding Angeles City),99601,104999,103614,99245,90741,82802,77364,67784,62768,51072,42302,32906,27429,17544,14384,9940,10031
R3,Angeles City,15994,16534,16451,16854,17209,15593,13270,11358,10191,8419,6767,5259,4095,2350,1813,1219,1169
R3,Tarlac,65512,65862,64845,61791,54547,49402,45925,41803,38764,32674,27554,21945,18370,12340,10055,6875,7530
R3,Zambales (excluding Olongapo City),28899,27604,27355,25300,23103,20543,18223,16622,16143,13961,12095,9545,7760,5066,4314,2704,3073
R3,Olongapo City,10762,10937,11082,10793,11275,10068,8877,7660,6793,5986,5022,4095,3405,1924,1486,892,805
R4,Batangas,121864,123257,121994,118031,104756,100007,91205,79599,71371,58165,50259,41118,33878,23182,18505,13168,14453
R4,Cavite,157239,156402,154379,151501,148589,143193,135169,114286,102002,83324,67130,50129,37792,23722,18822,12059,11545
R4,Laguna,137681,133980,128240,128850,130524,125872,116142,93290,83444,70779,59404,45845,32551,21172,16094,10338,10371
R4,Quezon (excluding Lucena City),97498,97884,100592,88804,70972,61088,57518,52442,49454,42707,36805,28919,21895,16327,12846,8366,8179
R4,Lucena City,13406,12987,13045,13192,11585,10009,9115,7868,7600,6498,5429,4226,3046,2069,1495,1026,1022
R4,Rizal,130050,129279,127969,124741,114637,110068,103316,88705,79216,65426,55005,41167,29117,17561,12741,7753,6873
MIMAROPA,Marinduque,11981,13048,13801,11302,7490,6618,6698,6629,6438,5727,5385,4533,3891,3019,2325,1693,1670
MIMAROPA,Occidental Mindoro,28183,27948,27015,23370,18213,15901,14362,13141,11728,9900,8209,6103,4968,3412,2780,1664,1565
MIMAROPA,Oriental Mindoro,44648,45525,47359,41510,31963,27781,25898,23607,21285,18255,15976,12330,9625,6878,5503,3540,3614
MIMAROPA,Palawan (excluding Puerto Princesa City),48731,49010,47618,41453,31899,27574,23819,21362,18309,16093,13070,9631,7444,5319,4098,2378,2261
MIMAROPA,Puerto Princesa City,11730,11827,11724,12987,10797,9429,8090,6898,6118,5225,4192,3032,2122,1343,1086,619,617
MIMAROPA,Romblon,15099,16755,17716,14619,10380,8471,7890,7795,7746,6984,6118,4903,4192,3793,3005,1978,2079
R5,Albay,67352,72179,71499,65251,49668,41875,39144,35585,33719,29367,25653,21244,17828,12931,10112,6605,7230
R5,Camarines Norte,32450,32442,32626,27660,21165,17954,16832,15540,15068,12793,10741,8664,6986,5123,3922,2535,2423
R5,Camarines Sur,108255,114563,110371,94371,71754,59474,55834,50065,47210,41135,35670,29143,23885,17612,13696,8935,8794
R5,Catanduanes,13830,14646,15098,12896,9147,7565,7079,6534,6410,5565,4593,3908,3403,2963,2582,1664,1925
R5,Masbate,56584,57895,56529,42471,28458,23773,23166,22085,20317,17607,15336,12300,9605,8237,6637,3852,3337
R5,Sorsogon,41367,45823,46879,39027,26570,22642,22232,21007,20029,17177,14390,11649,10119,8194,6401,4086,4408
R6,  Aklan,26899,26832,27709,27743,24121,20427,17533,15319,14627,13004,11478,9388,8013,6594,5261,3851,4686
R6,  Antique,28169,29765,30346,27512,21922,18362,16513,15357,14962,13616,11784,9618,8113,6929,5929,4149,4329
R6,  Capiz,33265,37558,39921,38502,30146,25030,22770,20950,20665,18680,16548,13935,10900,8652,7273,4892,5372
R6,  Guimaras,8073,8040,8235,8130,6962,6142,5313,4823,4520,4143,3577,2909,2277,1788,1636,1146,1231
R6,  Iloilo (excluding Iloilo City),89923,91929,91587,89230,77773,66111,58483,52827,50785,46162,40588,33895,28238,22675,19281,13421,15592
R6,  Iloilo City,18899,18929,18809,22333,22111,19055,16567,13553,13382,12274,10842,8925,6858,4622,3959,2862,3338
R6,  Negros Occidental (excluding Bacolod City),127232,131142,132921,127513,97867,79782,72571,69990,66268,60202,52536,42887,31922,25865,21248,13240,12000
R6,  Bacolod City,23833,24139,24000,27248,24698,21353,19229,17317,16135,14231,13005,10681,7989,5645,4583,2829,2995
R7,Bohol,65035,70157,68466,61235,48895,41666,38540,36771,34567,31503,27297,22445,19513,17490,13910,9783,10427
R7,"Cebu (excluding The Cities of Cebu, Lapu-Lapu, And Mandaue)",146104,144363,139239,134240,112055,98009,88998,79673,71236,63277,53450,45094,34265,26527,21691,14573,14133
R7,Cebu City,42316,40772,39689,48482,49064,41365,34246,28837,26255,22868,19170,14887,11416,7244,5617,3668,3537
R7,Lapu-Lapu City (Opon),20158,19119,16861,18402,19648,18008,16441,12546,9745,7677,5859,4478,3307,2118,1477,957,827
R7,Mandaue City,17890,16205,14831,17492,19438,17818,14523,11376,9719,7894,6310,4730,3231,2066,1466,904,914
R7,Negros Oriental,66469,69392,72589,68189,50837,42740,39831,38108,36383,33979,29004,24149,17547,13802,11906,7242,6902
R7,Siquijor,4004,4367,4331,4218,3288,3019,2883,2829,2673,2547,2250,2007,1704,1572,1368,982,1003
R8,Biliran,9106,9342,10097,8101,5858,4817,4734,4441,4368,3854,3384,2800,2456,1931,1636,1048,1045
R8,Eastern Samar,23552,25559,26981,22103,15631,12800,12196,11469,10753,9412,8311,6615,5993,5211,4167,2842,2759
R8,Leyte (excluding Tacloban City),87797,89230,91401,79533,59718,50281,47123,43427,41607,37387,33391,27198,22280,17228,13808,9058,8852
R8,Tacloban City,11577,11652,12250,13035,10801,9072,7489,6692,6205,5492,4788,3547,2782,1920,1434,922,948
