Region,City,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 and over
NCR,City of Manila,83611,80851,76951,80866,85561,80144,69898,56838,50361,42834,35818,26443,18855,9538,6660,3770,2789
NCR,City of Mandaluyong,15194,15297,14493,15185,16983,16959,14548,11996,10097,8564,7551,5673,4347,1916,1364,822,1246
NCR,City of Marikina,19126,20300,21090,20783,19998,18712,17347,14863,13703,11389,9680,7201,5461,2799,2255,1262,852
NCR,City of Pasig,33683,33385,32202,29843,31446,32407,30478,25728,21221,16737,13550,9766,7414,3792,2615,1507,1101
NCR,Quezon City,143170,138317,133959,133765,136397,130991,116652,97503,85439,70619,57762,40999,28045,14748,9883,5895,4872
NCR,City of San Juan,4512,4634,4827,5038,5330,5353,4900,4266,3798,3334,2673,2219,1535,939,602,373,463
NCR,Caloocan City,82393,80733,78936,74581,70863,66322,61173,52185,47161,39737,32197,22750,15323,8123,5245,2632,1759
NCR,City of Malabon,18195,18679,18063,17387,17029,15970,15070,12720,11317,9342,7906,5838,4193,2064,1416,703,558
NCR,City of Navotas,14610,14117,13224,12421,11846,11053,10363,8865,7816,6594,5419,3895,2687,1404,878,419,313
NCR,City of Valenzuela,31599,30182,28724,26828,28436,28652,26328,21826,18130,14911,11993,8618,5776,3003,1963,1009,681
NCR,City of Las Pinas,27814,27828,27410,26149,25581,24386,23185,19607,16851,13657,11795,9037,6720,3687,2324,1208,875
NCR,City of Makati,22625,21666,21791,21971,25697,27024,24159,18632,16167,14282,11749,8786,6307,3309,2170,1607,1567
NCR,City of Muntinlupa,22166,21859,21318,20422,21863,23284,22110,19086,16229,13614,11440,8053,5741,3032,1803,917,669
NCR,City of Paranaque,28885,28358,28366,27324,28000,27724,24911,21318,18467,15549,13005,9440,6575,3493,2488,1488,980
NCR,Pasay City,19510,18278,17802,17839,20493,20794,18157,14205,12105,9747,7859,5763,4459,2208,1574,778,526
NCR,Pateros,3275,3247,3238,2989,2979,2901,2575,2321,2127,1693,1339,1059,834,445,327,168,111
NCR,Taguig City,36718,34081,31239,29075,30908,32133,30541,24545,20323,16367,13075,9233,5707,2775,1736,846,614
CAR,Abra,12803,13219,12248,12207,10876,9876,8634,7216,6855,6285,5497,4289,3060,2065,1937,1258,1363
CAR,Apayao,6516,6586,6749,6356,5244,4569,4262,3813,3394,2940,2402,1753,1250,896,683,467,372
CAR,Benguet (excluding Baguio City),21405,21504,20900,23049,23069,19590,15675,13097,12310,11061,9192,6565,4183,2788,2182,1284,1076
CAR,Baguio City,15246,15754,14745,18074,18230,15071,12399,10037,9305,8168,6701,4689,3322,1821,1308,735,654
CAR,Ifugao,11347,11390,11140,11415,10226,8447,6974,5815,5124,4495,3588,2826,1818,1294,1169,819,563
CAR,Kalinga,12006,12332,12126,11711,10086,8247,7093,6213,5681,4951,3978,3149,2274,1578,1257,761,550
CAR,Mountain Province,8709,9175,8979,9079,7963,6257,5269,4521,4318,3824,3144,2482,1718,1347,1113,733,738
R1,Ilocos Norte,28537,28554,27766,26724,25214,24302,21791,19599,18354,15692,13180,10371,7851,5956,4779,2964,3600
R1,Ilocos Sur,33231,33820,32446,32697,29554,27873,25598,22177,20849,18446,15294,11950,8873,6349,5044,3213,3726
R1,La Union,37943,38551,39068,38193,33742,31150,27951,24641,23381,20563,17604,13430,10129,6354,4928,3126,3160
R1,Pangasinan,157612,159756,157539,147945,122986,108710,99558,90917,83713,71189,59670,46731,37237,23740,16800,10362,10178
R2,Batanes,801,906,951,825,647,597,621,584,551,462,338,294,224,198,143,109,120
R2,Cagayan,60950,59559,62543,61544,51976,44415,40659,37345,34068,31691,26997,20339,13553,8943,7734,4843,4351
R2,Isabela,83456,80308,80493,80530,70377,60248,57521,51682,47387,42227,34987,25683,17624,10928,8479,4739,3975
R2,Nueva Vizcaya,23238,23573,23254,22319,19601,17742,16188,14280,13214,11513,9837,7316,5143,2971,2430,1478,1300
R2,Quirino,10278,10081,9905,9720,8333,7368,6937,6109,5424,4715,4019,3085,1975,1262,941,527,500
R3,Aurora,12361,12340,12627,11600,8945,7291,6964,6581,6100,5366,4276,3203,2319,1551,1103,586,495
R3,Bataan,38539,37709,37451,35332,32296,29241,26885,22632,21370,18357,15834,11893,8692,4320,3245,1924,1637
R3,Bulacan,157833,159600,157686,147634,131255,121918,118211,103589,96160,78447,63782,47732,34813,19842,13689,7604,6034
R3,Nueva Ecija,110016,106861,104947,102367,88652,79410,74620,66948,63615,53973,44390,32959,23732,16102,11361,6331,5744
R3,Pampanga (excluding Angeles City),108129,112861,110865,103046,93587,83800,79760,70589,65833,52788,43362,32537,25283,14657,10984,6409,5003
R3,Angeles City,17369,17719,16892,16252,15785,14399,12978,11381,10256,8491,6838,4872,3763,1968,1406,803,619
R3,Tarlac,71427,71861,70309,66388,57767,51056,47924,43940,40507,34168,28360,21536,16631,10125,7544,4188,3715
R3,Zambales (excluding Olongapo City),30752,30159,29325,26711,25098,21616,19031,17810,16950,14651,12326,9470,7387,4187,3138,1851,1671
R3,Olongapo City,11776,11974,11993,10708,10581,9312,8334,7810,6772,5612,4587,3557,2828,1496,1004,560,412
R4,Batangas,132111,132314,129676,121258,106440,100021,92725,82486,73475,59882,50517,38622,28521,17520,12495,7767,6753
R4,Cavite,169287,167620,160904,147892,140251,132149,127430,111195,99609,81806,64571,46168,32112,17579,12641,6871,5323
R4,Laguna,148894,144396,136778,128052,123529,117833,112621,93792,83851,68998,57742,43102,28345,16056,10753,5968,4560
R4,Quezon (excluding Lucena City),104243,104913,107164,95900,75983,64424,61172,55636,53139,45575,38804,29138,19899,13375,9676,5368,3933
R4,Lucena City,14533,13569,13804,13067,11423,10176,9092,7962,7387,6546,5262,3920,2621,1524,964,562,362
R4,Rizal,140854,139141,135317,124481,110670,105147,101736,89355,78674,65269,53336,39230,26534,14364,9081,4738,3289
MIMAROPA,Marinduque,12837,13917,15079,12684,8557,6941,7118,6724,6613,5729,5364,4398,3612,2486,1731,1035,755
MIMAROPA,Occidental Mindoro,30456,29949,28623,25375,19887,17384,15875,14733,12946,11058,9024,6614,4839,3080,2277,1331,1058
MIMAROPA,Oriental Mindoro,47754,48802,50142,45005,33994,28733,27337,25206,22660,19500,16048,12493,8740,5601,4063,2338,1889
